Feature,Category
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (N Token),Lexical
Syntactic Complexity Feature: Mean Length of Complex T-unit,Syntactic
Syntactic Complexity Feature: Relative Clauses per T-Unit,Syntactic
Syntactic Complexity Feature: Mean Length of T-unit,Syntactic
Referential Cohesion: SD of Local Lexical Overlap (lemma-based),Discourse
SD Global Edit Distance for POS,Discourse
Number of Syntactic Function: VS Order,Count
Lexical Sophistication Feature: Concreteness (FW Token),Lexical
Number of Syntactic Constituents: Inverse Order,Count
Lexical Richness: Type Token Ratio (Log10 TTR Adverbs),Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Top 2000,Lexical
Morphological Complexity Inflection Feature: Dative Case per Token,Morphological
Syntactic Complexity Feature: Coordinate Phrases per Sentence,Syntactic
Lexical Richness: Type Token Ratio (Root TTR Verbs),Lexical
POS Density Feature: Modifier,Lexical
Number of Syntactic Functions: Agent Modifier,Count
Number of POS Feature: Cardinal number Types,Count
Syntactic Complexity Feature: Complex Nominals per T-unit,Syntactic
Number of Syntactic Constituents: Coordinate Phrases,Count
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD Adj Token),Lexical
Referential Cohesion: Global Lemma Overlap,Discourse
Morphological Complexity Inflection Feature: Subjunctives per word token,Morphological
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (Adj Token),Lexical
Syntactic Complexity Feature: Verb Cluster per T-Unit,Syntactic
Lexical Sophistication Feature: SUBTLEX Frequency Band 7,Lexical
Syntactic Complexity Feature: Noun Phrases per Clause,Syntactic
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD AW Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD Adv Token),Lexical
Morphological Complexity Inflection Feature: Gerund Verb per Verb Token,Morphological
Referential Cohesion: SD of Global Argument Overlap (lemma-based),Discourse
Cohesive Complexity Feature: Mendes Multi- to Single-Word Connectives,Discourse
Lexical Richness: Type Token Ratio (Corrected TTR Verbs),Lexical
